,,Sensitivity,,Specificity
10402,4.076,0.98,-2.798,0.06
10403,2.772,0.94,2.056,0.89
10404,2.772,0.94,2.056,0.89
10405,2.772,0.94,2.056,0.89
10406,2.772,0.94,2.056,0.89
10407,2.772,0.94,2.056,0.89
10408,2.772,0.94,2.056,0.89
10409,2.772,0.94,2.056,0.89
10410,2.772,0.94,2.056,0.89
10411,3.321,0.97,-2.227,0.10
10412,3.94,0.98,0.8099,0.69
10413,3.94,0.98,0.8099,0.69
10414,3.94,0.98,0.8099,0.69
10415,3.973,0.98,14.49,1.00
10416,3.973,0.98,14.49,1.00
10417,3.369,0.97,2.622,0.93
10418,3.369,0.97,2.622,0.93
10419,3.369,0.97,2.622,0.93
10420,3.369,0.97,2.622,0.93
10421,3.551,0.97,-0.9732,0.27
10422,3.551,0.97,-0.9732,0.27
10423,3.625,0.97,14.98,1.00
10424,3.625,0.97,14.98,1.00
10425,3.625,0.97,14.98,1.00
10426,3.82,0.98,6.629,1.00
10427,3.82,0.98,6.629,1.00
10428,2.939,0.95,5.918,1.00
10429,2.939,0.95,5.918,1.00
10430,3.544,0.97,3.107,0.96
10431,3.439,0.97,-18.24,0.00
10432,2.702,0.94,5.167,0.99
10433,2.702,0.94,5.167,0.99
10434,2.702,0.94,5.167,0.99
10435,2.702,0.94,5.167,0.99
10436,2.702,0.94,5.167,0.99
10437,2.702,0.94,5.167,0.99
10438,2.702,0.94,5.167,0.99
10439,2.702,0.94,5.167,0.99
10440,2.702,0.94,5.167,0.99
10441,3.353,0.97,-0.9057,0.29
10442,3.353,0.97,-0.9057,0.29
10443,3.353,0.97,-0.9057,0.29
10444,3.421,0.97,2.463,0.92
10445,3.671,0.98,3.727,0.98
10446,3.671,0.98,3.727,0.98
10447,3.671,0.98,3.727,0.98
10448,3.671,0.98,3.727,0.98
10449,3.671,0.98,3.727,0.98
10450,3.671,0.98,3.727,0.98
10451,3.717,0.98,-6.582,0.00
10452,2.758,0.94,2.444,0.92
10453,2.758,0.94,2.444,0.92
10454,2.758,0.94,2.444,0.92
10455,2.758,0.94,2.444,0.92
10456,2.758,0.94,2.444,0.92
10457,2.758,0.94,2.444,0.92
10458,2.758,0.94,2.444,0.92
10459,2.758,0.94,2.444,0.92
10460,2.758,0.94,2.444,0.92
10461,2.753,0.94,9.99,1.00
10462,2.753,0.94,9.99,1.00
10463,2.753,0.94,9.99,1.00
10464,3.645,0.97,4.331,0.99
